"date","home.team","home.score","away.team","away.score"
"29/09/2018","Real Madrid",15,"Ath Madrid",8
"29/09/2018","Sociedad",10,"Valencia",9
"30/09/2018","Betis",17,"Leganes",11
"30/09/2018","Huesca",13,"Girona",14
"30/09/2018","Levante",14,"Alaves",14
"30/09/2018","Villarreal",27,"Valladolid",9
"01/10/2018","Celta",8,"Getafe",12
"05/10/2018","Ath Bilbao",13,"Sociedad",6
"06/10/2018","Alaves",8,"Real Madrid",13
"06/10/2018","Getafe",15,"Levante",12
"06/10/2018","Girona",10,"Eibar",12
"06/10/2018","Leganes",13,"Vallecano",6
"07/10/2018","Ath Madrid",13,"Betis",5
"07/10/2018","Espanol",28,"Villarreal",13
"07/10/2018","Sevilla",12,"Celta",13
"07/10/2018","Valencia",10,"Barcelona",10
"07/10/2018","Valladolid",9,"Huesca",11
"19/10/2018","Celta",19,"Alaves",9
"20/10/2018","Barcelona",23,"Sevilla",19
"20/10/2018","Real Madrid",34,"Levante",6
"20/10/2018","Valencia",18,"Leganes",7
"20/10/2018","Villarreal",18,"Ath Madrid",15
"21/10/2018","Betis",20,"Valladolid",6
"21/10/2018","Eibar",18,"Ath Bilbao",6
"21/10/2018","Huesca",10,"Espanol",6
"21/10/2018","Vallecano",10,"Getafe",5
"22/10/2018","Sociedad",14,"Girona",12
"24/10/2018","Vallecano",11,"Ath Bilbao",12
"26/10/2018","Valladolid",15,"Espanol",11
"27/10/2018","Ath Bilbao",13,"Valencia",11
"27/10/2018","Ath Madrid",14,"Sociedad",7
"27/10/2018","Celta",10,"Eibar",17
"27/10/2018","Girona",14,"Vallecano",14
"27/10/2018","Levante",9,"Leganes",21
"28/10/2018","Alaves",19,"Villarreal",9
"28/10/2018","Barcelona",13,"Real Madrid",15
"28/10/2018","Getafe",16,"Betis",7
"28/10/2018","Sevilla",15,"Huesca",11
"03/11/2018","Leganes",8,"Ath Madrid",9
"03/11/2018","Real Madrid",16,"Valladolid",12
"03/11/2018","Valencia",27,"Girona",5
"03/11/2018","Vallecano",11,"Barcelona",9
"04/11/2018","Betis",14,"Celta",14
"04/11/2018","Eibar",23,"Alaves",9
"04/11/2018","Huesca",18,"Getafe",8
"04/11/2018","Sociedad",10,"Sevilla",8
"04/11/2018","Villarreal",23,"Levante",13
"05/11/2018","Espanol",8,"Ath Bilbao",10
"09/11/2018","Levante",17,"Sociedad",15
"10/11/2018","Ath Madrid",9,"Ath Bilbao",6
"10/11/2018","Getafe",17,"Valencia",7
"10/11/2018","Girona",5,"Leganes",10
"10/11/2018","Valladolid",9,"Eibar",16
"11/11/2018","Alaves",13,"Huesca",9
"11/11/2018","Barcelona",20,"Betis",15
"11/11/2018","Celta",15,"Real Madrid",14
"11/11/2018","Sevilla",23,"Espanol",15
"11/11/2018","Vallecano",15,"Villarreal",11
"23/11/2018","Leganes",13,"Alaves",7
"24/11/2018","Ath Madrid",3,"Barcelona",8
"24/11/2018","Eibar",14,"Real Madrid",9
"24/11/2018","Huesca",32,"Levante",5
"24/11/2018","Valencia",13,"Vallecano",13
